sanger_plate_well	sanger_batch	sangeranalyseR_success	bacteria_plate_well	location	google_drive_id	strainID
A01	batch20250606	TRUE	A01	Haunisten Allas	HA_A1	HA01
A02	batch20250606	TRUE	A02	Haunisten Allas	HA_A2	HA02
H02	batch20250606	TRUE	A03	Haunisten Allas	HA_A3	HA03
C03	batch20250606	TRUE	A04	Haunisten Allas	HA_A4	HA04
A04	batch20250606	FALSE	A05	Haunisten Allas	HA_A5	HA05
H04	batch20250606	TRUE	A06	Haunisten Allas	HA_A6	HA06
G05	batch20250606	TRUE	A07	Haunisten Allas	HA_A7	HA07
D06	batch20250606	TRUE	A08	Haunisten Allas	HA_A8	HA08
A08	batch20250606	FALSE	A10	Haunisten Allas	HA_A10	HA09
B09	batch20250606	TRUE	A12	Haunisten Allas	HA_A12	HA10
B01	batch20250606	TRUE	B01	Haunisten Allas	HA_B1	HA11
B02	batch20250606	TRUE	B02	Haunisten Allas	HA_B2	HA12
A03	batch20250606	TRUE	B03	Haunisten Allas	HA_B3	HA13
D03	batch20250606	TRUE	B04	Haunisten Allas	HA_B4	HA14
B04	batch20250606	FALSE	B05	Haunisten Allas	HA_B5	HA15
A05	batch20250606	TRUE	B06	Haunisten Allas	HA_B6	HA16
H05	batch20250606	TRUE	B07	Haunisten Allas	HA_B7	HA17
E06	batch20250606	TRUE	B08	Haunisten Allas	HA_B8	HA18
B08	batch20250606	FALSE	B10	Haunisten Allas	HA_B10	HA19
C09	batch20250606	FALSE	B12	Haunisten Allas	HA_B12	HA20
C01	batch20250606	TRUE	C01	Haunisten Allas	HA_C1	HA21
C02	batch20250606	FALSE	C02	Haunisten Allas	HA_C2	HA22
E03	batch20250606	TRUE	C04	Haunisten Allas	HA_C4	HA23
C04	batch20250606	FALSE	C05	Haunisten Allas	HA_C5	HA24
B05	batch20250606	TRUE	C06	Haunisten Allas	HA_C6	HA25
A06	batch20250606	FALSE	C07	Haunisten Allas	HA_C7	HA26
F06	batch20250606	TRUE	C08	Haunisten Allas	HA_C8	HA27
D07	batch20250606	TRUE	C09	Haunisten Allas	HA_C9	HA28
C08	batch20250606	TRUE	C10	Haunisten Allas	HA_C10	HA29
A09	batch20250606	TRUE	C11	Haunisten Allas	HA_C11	HA30
D01	batch20250606	FALSE	D01	Haunisten Allas	HA_D1	HA31
B06	batch20250606	TRUE	D07	Haunisten Allas	HA_D7	HA32
G06	batch20250606	TRUE	D08	Haunisten Allas	HA_D8	HA33
D08	batch20250606	TRUE	D10	Haunisten Allas	HA_D10	HA34
D09	batch20250606	TRUE	D12	Haunisten Allas	HA_D12	HA35
E01	batch20250606	TRUE	E01	Haunisten Allas	HA_E1	HA36
D02	batch20250606	TRUE	E02	Haunisten Allas	HA_E2	HA37
F03	batch20250606	FALSE	E04	Haunisten Allas	HA_E4	HA38
D04	batch20250606	TRUE	E05	Haunisten Allas	HA_E5	HA39
C05	batch20250606	TRUE	E06	Haunisten Allas	HA_E6	HA40
H06	batch20250606	TRUE	E08	Haunisten Allas	HA_E8	HA41
E07	batch20250606	TRUE	E09	Haunisten Allas	HA_E9	HA42
E08	batch20250606	FALSE	E10	Haunisten Allas	HA_E10	HA43
F01	batch20250606	TRUE	F01	Haunisten Allas	HA_F1	HA44
E02	batch20250606	TRUE	F02	Haunisten Allas	HA_F2	HA45
B03	batch20250606	TRUE	F03	Haunisten Allas	HA_F3	HA46
G03	batch20250606	TRUE	F04	Haunisten Allas	HA_F4	HA47
E04	batch20250606	TRUE	F05	Haunisten Allas	HA_F5	HA48
